ISBN,User-ID,Book-Rating
0002005018,8,5
0002005018,11676,8
0002005018,67544,8
0002005018,123629,9
0002005018,200273,8
0002005018,210926,9
0002005018,219008,7
0002005018,263325,6
0374157065,35704,6
0374157065,110912,10
0374157065,157969,8
0374157065,192665,8
0374157065,197659,9
0374157065,208059,6
0399135782,11676,9
0399135782,29526,9
0399135782,46398,9
0399135782,49635,9
0399135782,67958,10
0399135782,115097,7
0399135782,148712,10
0399135782,178269,5
0399135782,194722,9
0399135782,198013,7
0399135782,212449,8
0399135782,213191,8
0399135782,230522,7
0399135782,238557,10
0399135782,252921,8
0399135782,255661,5
0440234743,3329,8
0440234743,7346,9
0440234743,7352,8
0440234743,9419,5
0440234743,11224,6
0440234743,11676,9
0440234743,12685,10
0440234743,12923,10
0440234743,13552,8
0440234743,20801,8
0440234743,20916,7
0440234743,21264,5
0440234743,23511,8
0440234743,26240,5
0440234743,27684,9
0440234743,28123,9
0440234743,30533,6
0440234743,31299,10
0440234743,31315,10
0440234743,31560,6
0440234743,38991,8
0440234743,44663,8
0440234743,45585,7
0440234743,46389,8
0440234743,46767,9
0440234743,48911,10
0440234743,49168,9
0440234743,54005,9
0440234743,54884,8
0440234743,55027,7
0440234743,57423,8
0440234743,62667,8
0440234743,64535,7
0440234743,66387,6
0440234743,67487,6
0440234743,68537,10
0440234743,70666,7
0440234743,72975,7
0440234743,75691,9
0440234743,75819,7
0440234743,78165,10
0440234743,78754,8
0440234743,78973,7
0440234743,79740,7
0440234743,82114,9
0440234743,84611,8
0440234743,85534,7
0440234743,86969,8
0440234743,88006,4
0440234743,93055,7
0440234743,93643,10
0440234743,93772,9
0440234743,93800,6
0440234743,94139,8
0440234743,98923,7
0440234743,100393,5
0440234743,101209,7
0440234743,105979,5
0440234743,106230,9
0440234743,107784,9
0440234743,108143,9
0440234743,108247,10
0440234743,110127,5
0440234743,110558,5
0440234743,112093,4
0440234743,113328,10
0440234743,116127,8
0440234743,118659,8
0440234743,120396,10
0440234743,120771,8
0440234743,122251,7
0440234743,122440,9
0440234743,123137,7
0440234743,123430,5
0440234743,124487,10
0440234743,125519,8
0440234743,128185,6
0440234743,128463,7
0440234743,130784,8
0440234743,131681,9
0440234743,131703,9
0440234743,132144,9
0440234743,133706,8
0440234743,134797,8
0440234743,134863,8
0440234743,136707,6
0440234743,143134,10
0440234743,143939,9
0440234743,144062,10
0440234743,144255,5
0440234743,146279,8
0440234743,146816,10
0440234743,149120,7
0440234743,150400,10
0440234743,151004,9
0440234743,151063,10
0440234743,153513,6
0440234743,154730,7
0440234743,159506,8
0440234743,160735,7
0440234743,161870,5
0440234743,163194,7
0440234743,163693,6
0440234743,165618,7
0440234743,165842,7
0440234743,165884,7
0440234743,166391,10
0440234743,167038,9
0440234743,170580,8
0440234743,182746,5
0440234743,187533,7
0440234743,187944,6
0440234743,189655,9
0440234743,192399,6
0440234743,193529,7
0440234743,193898,9
